,data_compra,sku,produto,fornecedor,custo_bruto,comissoes_mktplace,frete,preco_venda,lucro_venda,dias_estoque,data_venda,marketplace_venda,cliente,localizacao
1329,2021-08-12,6047950720,ESMERILHADEIRA ANG. M9507B 220V MAKITA,OVD,268.84,49.91,0.0,389.9,71.99,54,2021-10-05,MAGALU,bff253d29f4a9c8c58e8,"COTIA, SP"
1330,2021-08-06,DMR5548,PATINETE 2 EM 1 JOANINHA AZUL,DM TOYS,245.34,17.91,0.0,139.93,-137.31,206,2022-02-28,MAGALU,b7863871cbcd296715c5,GOIANIA GO
1331,2021-08-12,6001020220,SOPRADOR TERMICO STV2000N 220V VONDER,OVD,181.8,46.78,0.0,259.9,32.14,18,2021-08-30,MAGALU,c1899fd84897992d0ed3,"São Paulo, São Paulo"
1332,2021-08-12,6001020220,SOPRADOR TERMICO STV2000N 220V VONDER,OVD,181.8,49.28,22.14,289.9,35.49,35,2021-09-16,SHOPEE,ba635c74921e4ca2bd8b,"Uberlândia, Minas Gerais"
1333,2021-08-13,1367,ALF SILÁBICO 350 PC - 1367,CARLU,55.27,24.68,20.99,129.9,24.93,39,2021-09-21,ML MHL TOOLS,6303ff646b47b3e05678,Monte Carmelo - MG
1334,2021-08-13,1367,ALF SILÁBICO 350 PC - 1367,CARLU,55.27,18.13,18.45,109.9,7.06,87,2021-11-08,OLIST,7257c4b6185ded18de21,"Lauro Müller, Santa Catarina"
1335,2021-08-06,DMT5892,AUTO PISTA TURBO RUN CICUITO E,DM TOYS,180.77,31.99,0.0,249.9,12.15,137,2021-12-21,ML MHL TOOLS,c2540356f1394d9b9aaf,ALMIRANTE TAMANDARE PR
1336,2021-08-13,1934,PP - CONECTANDO FORMAS - 150 P,CARLU,24.64,7.15,0.0,55.9,21.69,26,2021-09-08,MAGALU,26a0ec334bfdfa0afd12,"UNAI, MG"
1337,2021-08-13,1934,PP - CONECTANDO FORMAS - 150 P,CARLU,24.64,7.16,0.0,55.9,21.68,46,2021-09-28,MAGALU,705b67feca19d3ef2c9b,"Nova Iguaçu, RJ"
1338,2021-08-13,1934,PP - CONECTANDO FORMAS - 150 P,CARLU,24.64,7.16,0.0,55.9,21.68,53,2021-10-05,MAGALU,6746d382cbdd0498ac90,"BELO HORIZONTE, MG"
