,data_compra,sku,produto,fornecedor,custo_bruto,comissoes_mktplace,frete,preco_venda,lucro_venda,dias_estoque,cliente,marketplace_venda,marketplace_unificado,data_venda,dia_semana,fim_semana,ano_mes_venda,quarter_venda,uf,regiao_br
504,2020-07-22,1367,ALF SILÁBICO 350 PC - 1367,CARLU,45.8,16.98,0.0,74.9,10.16,187,539d5184a94d006c5361,ML ALEGRISHOP,MERCADO LIVRE,2021-01-25,Monday,False,2021-01,2021-T1,MG,SUDESTE
505,2020-07-22,1367,ALF SILÁBICO 350 PC - 1367,CARLU,45.8,17.36,0.0,74.9,9.78,236,f1cc25e66aeb93511c9a,MAGALU,MAGALU,2021-03-15,Monday,False,2021-03,2021-T1,MG,SUDESTE
506,2020-07-22,1094,JOGO DE ARGOLAS CRUZ - MDF - 1,CARLU,18.91,9.48,5.0,49.9,14.04,369,0be3029e70e2127a36ae,ML MHL CARE,MERCADO LIVRE,2021-07-26,Monday,False,2021-07,2021-T3,MG,SUDESTE
507,2020-08-07,6020012310,"FURADEIRA 123D IMP.1/2"" VVR 127V BOSCH",OVD,403.31,59.48,23.45,349.9,-171.33,559,2cc1ed5ffbb0c1e2a629,OLIST,OLIST,2022-02-17,Thursday,False,2022-02,2022-T1,MG,SUDESTE
508,2020-07-22,1204,ALF MOV DEGRAU - MDF - 130 PC,CARLU,65.26,19.78,21.95,119.9,10.61,36,d2d2be0da49f90280e14,ML MHL TOOLS,MERCADO LIVRE,2020-08-27,Thursday,False,2020-08,2020-T3,SP,SUDESTE
509,2020-07-22,1204,ALF MOV DEGRAU - MDF - 130 PC,CARLU,65.26,23.08,21.95,139.9,25.84,168,f685fd0af7cf2ee9d498,ML ALEGRISHOP,MERCADO LIVRE,2021-01-06,Wednesday,False,2021-01,2021-T1,SP,SUDESTE
510,2020-07-28,6065900211,ESMERILHADEIRA 9002AL 115MM 127V SKIL,OVD,212.9,60.78,0.0,319.9,46.14,353,67d6aa2b1cc7e5b494e8,ML ALEGRISHOP,MERCADO LIVRE,2021-07-16,Friday,False,2021-07,2021-T3,RJ,SUDESTE
511,2020-07-28,6065900211,ESMERILHADEIRA 9002AL 115MM 127V SKIL,OVD,212.9,47.98,21.95,299.9,18.32,2,34df89987c64294bea30,OLIST,OLIST,2020-07-30,Thursday,False,2020-07,2020-T3,RJ,SUDESTE
512,2020-07-28,6065900211,ESMERILHADEIRA 9002AL 115MM 127V SKIL,OVD,212.9,47.98,21.95,299.9,18.32,8,bcba14a4f6a0473b82f5,ML ALEGRISHOP,MERCADO LIVRE,2020-08-05,Wednesday,False,2020-08,2020-T3,RJ,SUDESTE
513,2020-07-28,6065900211,ESMERILHADEIRA 9002AL 115MM 127V SKIL,OVD,212.9,47.98,21.95,299.9,18.32,9,a39dd6fad36d729ff350,ML ALEGRISHOP,MERCADO LIVRE,2020-08-06,Thursday,False,2020-08,2020-T3,SP,SUDESTE
514,2020-07-28,6065900222,ESMERILHADEIRA 9002JQ 115MM 220V SKIL,OVD,212.9,47.98,21.95,299.9,16.4,0,2d7831b0748b93226745,ML ALEGRISHOP,MERCADO LIVRE,2020-07-28,Tuesday,False,2020-07,2020-T3,CE,NORDESTE
515,2020-07-30,6065900422,ESMERILHADEIRA 9004JQ 115MM 220V SKIL,OVD,245.65,47.98,21.95,299.9,-11.15,0,ecb54a7aa0ccd5cd5af3,ML ALEGRISHOP,MERCADO LIVRE,2020-07-30,Thursday,False,2020-07,2020-T3,RN,NORDESTE
516,2020-07-30,6065900422,ESMERILHADEIRA 9004JQ 115MM 220V SKIL,OVD,245.65,54.38,21.95,339.9,19.78,13,b342c75be7075df618dc,ML MHL TOOLS,MERCADO LIVRE,2020-08-12,Wednesday,False,2020-08,2020-T3,PB,NORDESTE
517,2020-07-30,6065900422,ESMERILHADEIRA 9004JQ 115MM 220V SKIL,OVD,245.65,57.98,22.95,339.9,15.18,337,9cbd83ec489b700f6ca1,ML ALEGRISHOP,MERCADO LIVRE,2021-07-02,Friday,False,2021-07,2021-T3,PE,NORDESTE
518,2020-08-07,6020012320,"FURADEIRA 123D IMP.1/2"" VVR 220V BOSCH",OVD,403.31,59.48,23.45,349.9,-171.33,563,722a6d310c1b86fcd585,ML MHL TOOLS,MERCADO LIVRE,2022-02-21,Monday,False,2022-02,2022-T1,RS,SUL
519,2020-07-30,6055402010,ESMERILHADEIRA DWE4020BR 127V DEWALT,OVD,382.81,84.78,0.0,529.9,65.19,140,c4ebe0c53452e39be7e1,ML MHL TOOLS,MERCADO LIVRE,2020-12-17,Thursday,False,2020-12,2020-T4,MG,SUDESTE
520,2020-07-30,6045955741,"ESMERILHADEIRA ANG. 4.1/2""9557HNG 127V M",OVD,344.14,83.28,21.95,489.9,42.22,26,c52f5182c8dd7ee69f2d,MAGALU,MAGALU,2020-08-25,Tuesday,False,2020-08,2020-T3,RJ,SUDESTE
521,2020-08-26,6045333042,PARAFUS/FUR.BAT IMP 12V HP333DWYE MAKIT,OVD,786.7,81.59,23.45,679.9,-279.83,541,0c5ddea2461456906e83,ML MHL TOOLS,MERCADO LIVRE,2022-02-18,Friday,False,2022-02,2022-T1,MG,SUDESTE
522,2020-07-30,6045247032,MARTELETE PERF/ROMP HR2470 220V MAKITA,OVD,711.75,153.58,31.95,959.9,69.67,14,f4382c14f5dd987afdf0,ML MHL TOOLS,MERCADO LIVRE,2020-08-13,Thursday,False,2020-08,2020-T3,SP,SUDESTE
523,2020-07-30,1105,MATERIAL DOURADO 611 PC - 1105,CARLU,42.76,17.78,0.0,79.9,16.66,5,8fc9ab32cef4f0fd2a52,ML MHL TOOLS,MERCADO LIVRE,2020-08-04,Tuesday,False,2020-08,2020-T3,DF,CENTRO-OESTE
524,2020-07-30,1105,MATERIAL DOURADO 611 PC - 1105,CARLU,42.76,17.78,0.0,79.9,16.66,11,11bd7acd0036e95540bf,ML ALEGRISHOP,MERCADO LIVRE,2020-08-10,Monday,False,2020-08,2020-T3,RS,SUL
525,2020-07-30,1105,MATERIAL DOURADO 611 PC - 1105,CARLU,42.76,17.78,0.0,79.9,16.66,15,b51f376985a1b20a9881,ML ALEGRISHOP,MERCADO LIVRE,2020-08-14,Friday,False,2020-08,2020-T3,RS,SUL
526,2020-07-30,1936,PP - CONECTANDO FORMAS - 1.000,CARLU,125.78,37.93,28.85,229.9,34.56,147,ed096eca25a5045e7b3e,ML ALEGRISHOP,MERCADO LIVRE,2020-12-24,Thursday,False,2020-12,2020-T4,PR,SUL
527,2020-07-30,1936,PP - CONECTANDO FORMAS - 1.000,CARLU,125.78,42.88,22.95,259.9,63.51,263,d30c6fe98e8157171e4d,ML ALEGRISHOP,MERCADO LIVRE,2021-04-19,Monday,False,2021-04,2021-T2,SP,SUDESTE
528,2020-07-30,3146,CASINHA MANSAO,CARLU,195.02,52.78,39.9,319.9,30.33,250,75e8ad724d59751a0ce4,ML MHL CARE,MERCADO LIVRE,2021-04-06,Tuesday,False,2021-04,2021-T2,BA,NORDESTE
529,2020-07-30,1934,PP - CONECTANDO FORMAS - 150 P,CARLU,23.63,18.18,0.0,79.9,33.48,214,4dfca750ab0df2e0ca3a,ML MHL CARE,MERCADO LIVRE,2021-03-01,Monday,False,2021-03,2021-T1,RS,SUL
530,2020-07-30,1934,PP - CONECTANDO FORMAS - 150 P,CARLU,23.63,17.78,0.0,79.9,33.87,186,63270bd70c50dd8a1fa2,MAGALU,MAGALU,2021-02-01,Monday,False,2021-02,2021-T1,SP,SUDESTE
531,2020-07-30,1934,PP - CONECTANDO FORMAS - 150 P,CARLU,23.63,17.78,0.0,79.9,33.87,214,4dfca750ab0df2e0ca3a,MAGALU,MAGALU,2021-03-01,Monday,False,2021-03,2021-T1,RS,SUL
532,2020-07-30,1934,PP - CONECTANDO FORMAS - 150 P,CARLU,23.63,17.78,0.0,79.9,33.87,253,451b4a2cfd347b515fdf,MAGALU,MAGALU,2021-04-09,Friday,False,2021-04,2021-T2,RS,SUL
533,2020-07-30,1934,PP - CONECTANDO FORMAS - 150 P,CARLU,23.63,6.7,0.0,55.9,23.05,312,10fb07770b566d9a64bd,MAGALU,MAGALU,2021-06-07,Monday,False,2021-06,2021-T2,BA,NORDESTE
534,2020-07-30,6065900211,ESMERILHADEIRA 9002AL 115MM 127V SKIL,OVD,193.64,47.98,17.45,299.9,40.16,17,d0eed9645e3381b106a3,MAGALU,MAGALU,2020-08-16,Sunday,True,2020-08,2020-T3,SE,NORDESTE
535,2020-07-30,6065900211,ESMERILHADEIRA 9002AL 115MM 127V SKIL,OVD,193.64,36.78,0.0,229.9,3.48,134,52760f5a0eed5656b8d1,ML ALEGRISHOP,MERCADO LIVRE,2020-12-11,Friday,False,2020-12,2020-T4,MG,SUDESTE
536,2020-07-30,6065900211,ESMERILHADEIRA 9002AL 115MM 127V SKIL,OVD,193.64,50.98,27.54,299.9,27.07,361,591eebc1eb33f6f7cf93,MAGALU,MAGALU,2021-07-26,Monday,False,2021-07,2021-T3,MG,SUDESTE
537,2020-07-30,6065900211,ESMERILHADEIRA 9002AL 115MM 127V SKIL,OVD,193.64,47.98,17.45,299.9,40.16,116,e09263fb540e0ecaa057,ML MHL TOOLS,MERCADO LIVRE,2020-11-23,Monday,False,2020-11,2020-T4,BA,NORDESTE
538,2020-09-04,6045955742,"ESMERILHADEIRA ANG. 4.1/2""9557HNG 220V M",OVD,389.45,40.55,23.45,337.9,-149.34,530,a5b715a49afb7e31bbe7,MAGALU,MAGALU,2022-02-16,Wednesday,False,2022-02,2022-T1,SP,SUDESTE
539,2020-07-30,6065900222,ESMERILHADEIRA 9002JQ 115MM 220V SKIL,OVD,193.64,47.98,21.95,299.9,37.58,15,da08ac99ab36f0eee30d,ML ALEGRISHOP,MERCADO LIVRE,2020-08-12,Wednesday,False,2020-08,2020-T3,RS,SUL
540,2020-07-30,6065900422,ESMERILHADEIRA 9004JQ 115MM 220V SKIL,OVD,223.44,54.38,0.0,339.9,61.71,216,723b58dfc6f6c3eb4efa,ML ALEGRISHOP,MERCADO LIVRE,2021-03-03,Wednesday,False,2021-03,2021-T1,RS,SUL
541,2020-07-30,6065900422,ESMERILHADEIRA 9004JQ 115MM 220V SKIL,OVD,223.44,47.98,0.0,299.9,30.79,452,3fae5f1d43d7f590508a,MAGALU,MAGALU,2021-10-25,Monday,False,2021-10,2021-T4,PR,SUL
542,2020-07-30,6065900422,ESMERILHADEIRA 9004JQ 115MM 220V SKIL,OVD,223.44,57.78,22.95,339.9,1.74,459,45aa11f5690ba20107bf,MAGALU,MAGALU,2021-11-01,Monday,False,2021-11,2021-T4,AL,NORDESTE
543,2020-08-07,6001853220,"MARTELETE PERF/ROMP MPV853 3,3J 220V VD",OVD,543.91,122.38,21.95,690.0,10.06,78,825ea7864168c0acd577,ML MHL TOOLS,MERCADO LIVRE,2020-10-24,Saturday,True,2020-10,2020-T4,PR,SUL
544,2020-08-07,6001853220,"MARTELETE PERF/ROMP MPV853 3,3J 220V VD",OVD,543.91,122.38,21.95,689.9,9.97,175,64d015507de1544022f2,ML ALEGRISHOP,MERCADO LIVRE,2021-01-29,Friday,False,2021-01,2021-T1,BA,NORDESTE
